crop_name,min_ph,max_ph,min_organic_carbon,min_nitrogen,max_nitrogen,soil_types,season,water_requirement,temperature_range,rainfall_mm,growth_duration_days,yield_potential_tons_per_hectare,region_suitability,fertilizer_requirements,pest_diseases
Wheat,6.0,7.5,1.5,50,120,"Loam,Clay Loam,Sandy Loam",Rabi,450-650,15-25,400-600,120-150,3-4,"Northern Plains,Central India",NPK 120:60:40,"Rust,Aphids,Termites"
Rice,5.5,7.0,1.2,40,100,"Clay,Silty Loam,Loam",Kharif,1000-1200,20-35,1000-1500,120-140,4-6,"Eastern India,Southern India,Coastal Areas",NPK 80:40:40,"Blast,Sheath Blight,Brown Plant Hopper"
Maize,5.5,7.5,1.0,30,80,"Sandy Loam,Loam",Kharif,500-800,21-27,600-1000,90-120,4-6,"Central India,Northern Plains",NPK 120:60:40,"Fall Army Worm,Stem Borer,Cutworm"
Sugarcane,6.0,8.0,1.5,60,150,"Loam,Clay Loam",Year-round,1500-2000,20-35,1000-1500,300-365,60-80,"Maharashtra,Uttar Pradesh,Karnataka",NPK 340:170:170,"Red Rot,Smut,Early Shoot Borer"
Cotton,6.0,8.0,1.0,30,90,"Sandy Loam,Loam",Kharif,700-1000,21-32,500-1000,180-200,1.5-3,"Gujarat,Maharashtra,Telangana",NPK 120:60:60,"Bollworm,Whitefly,Thrips"
Pulses,6.0,7.5,1.0,25,60,"Loam,Sandy Loam,Clay Loam",Rabi/Kharif,300-400,20-30,400-600,90-120,1-2,"Rajasthan,Madhya Pradesh,Maharashtra",NPK 20:60:40,"Pod Borer,Aphids,Rust"
Potato,5.8,6.5,2.0,40,100,"Sandy Loam,Loam",Rabi,500-700,15-20,600-1000,90-120,20-30,"Uttar Pradesh,West Bengal,Punjab",NPK 180:80:150,"Late Blight,Early Blight,Potato Beetle"
Tomato,6.0,7.0,2.5,50,120,"Loam,Sandy Loam",Year-round,400-600,18-27,600-1000,120-150,25-40,"Karnataka,Andhra Pradesh,Maharashtra",NPK 150:100:100,"Bacterial Wilt,Leaf Curl,Fruit Borer"
Onion,6.0,7.5,1.5,30,80,"Sandy Loam,Loam,Silty Loam",Rabi,350-550,13-24,650-750,120-150,15-25,"Maharashtra,Gujarat,Karnataka",NPK 100:50:50,"Purple Blotch,Thrips,Stem Rot"
Cabbage,6.0,7.5,2.0,40,100,"Loam,Clay Loam",Rabi,380-500,15-20,600-750,90-120,25-35,"West Bengal,Odisha,Karnataka",NPK 120:80:80,"Diamondback Moth,Cabbage Worm,Black Rot"
Cauliflower,6.0,7.0,2.0,40,100,"Loam,Clay Loam",Rabi,375-500,15-20,600-750,70-100,20-30,"Punjab,Haryana,West Bengal",NPK 120:80:80,"Diamondback Moth,Aphids,Clubroot"
Carrot,6.0,7.0,1.5,30,80,"Sandy Loam,Loam",Rabi,350-500,16-20,600-750,100-120,20-25,"Punjab,Haryana,Himachal Pradesh",NPK 75:50:50,"Carrot Fly,Leaf Blight,Root Rot"
Spinach,6.0,7.5,2.0,40,100,"Loam,Sandy Loam",Rabi,300-400,15-20,400-600,45-60,10-15,"Punjab,Haryana,Uttar Pradesh",NPK 60:30:30,"Downy Mildew,Leaf Miners,Aphids"
Mustard,6.0,7.5,1.0,30,80,"Loam,Sandy Loam,Clay Loam",Rabi,240-400,15-25,400-600,120-150,1-1.5,"Rajasthan,Haryana,Uttar Pradesh",NPK 60:30:30,"Aphids,Sawfly,White Rust"
Groundnut,6.0,7.0,1.0,20,60,"Sandy Loam,Red Soil",Kharif,500-750,20-30,750-1000,120-140,1.5-2.5,"Gujarat,Andhra Pradesh,Tamil Nadu",NPK 25:50:75,"Leaf Spot,Rust,Thrips"
Sunflower,6.0,8.0,1.0,25,70,"Sandy Loam,Loam",Kharif,400-700,20-25,500-750,90-120,1-2,"Karnataka,Andhra Pradesh,Maharashtra",NPK 60:90:40,"Head Rot,Rust,Stem Weevil"
Soybean,6.0,7.0,1.2,30,80,"Loam,Clay Loam",Kharif,450-700,20-30,750-1000,90-120,1-2,"Madhya Pradesh,Maharashtra,Rajasthan",NPK 30:75:30,"Yellow Mosaic,Pod Borer,Rust"
Sesame,6.0,7.5,1.0,25,60,"Sandy Loam,Red Soil",Kharif,300-650,25-30,500-700,90-120,0.5-1,"Gujarat,Rajasthan,West Bengal",NPK 40:20:20,"Phyllody,Leaf Spot,Capsule Borer"
Chilli,6.0,7.5,2.0,50,120,"Loam,Sandy Loam",Kharif,600-1250,20-30,1000-1250,150-200,2-3,"Andhra Pradesh,Karnataka,Maharashtra",NPK 110:60:60,"Anthracnose,Thrips,Mites"
Turmeric,5.5,7.5,2.5,40,100,"Loam,Clay Loam",Kharif,1000-1500,20-30,1500-2250,240-300,3-5,"Andhra Pradesh,Tamil Nadu,Karnataka",NPK 60:30:120,"Rhizome Rot,Leaf Blotch,Scale Insects"
Ginger,5.5,6.5,3.0,50,120,"Loam,Well-drained Soil",Kharif,1500-3000,25-30,2500-4000,240-270,8-12,"Kerala,Karnataka,Meghalaya",NPK 75:50:50,"Soft Rot,Bacterial Wilt,Rhizome Fly"
Tea,4.5,6.0,3.0,40,100,"Well-drained Acidic Soil",Year-round,1150-1400,20-30,1500-2500,Year-round,1.5-2,"Assam,West Bengal,Kerala",NPK 120:30:30,"Blister Blight,Red Spider Mite,Thrips"
Coffee,6.0,7.0,3.0,50,120,"Well-drained Loamy Soil",Year-round,1500-2000,15-25,1500-2000,Year-round,0.8-1.2,"Karnataka,Kerala,Tamil Nadu",NPK 100:40:60,"Coffee Berry Borer,Leaf Rust,White Stem Borer"
Banana,6.0,7.5,2.5,60,150,"Loam,Clay Loam",Year-round,1200-2200,26-30,1200-2000,365,40-60,"Tamil Nadu,Maharashtra,Gujarat",NPK 200:60:300,"Panama Disease,Sigatoka,Nematodes"
Mango,6.0,7.5,1.5,40,100,"Well-drained Loam",Year-round,800-1200,24-30,750-2500,Year-round,8-15,"Uttar Pradesh,Andhra Pradesh,Karnataka",NPK 500:125:1200,"Anthracnose,Powdery Mildew,Fruit Fly"
Orange,6.0,7.5,2.0,50,120,"Well-drained Loam",Year-round,900-1200,13-37,1000-2000,Year-round,15-25,"Maharashtra,Punjab,Himachal Pradesh",NPK 400:200:200,"Citrus Canker,Greening,Scale Insects"
Grapes,6.0,8.0,1.5,30,80,"Well-drained Sandy Loam",Year-round,500-1200,15-40,500-900,Year-round,10-20,"Maharashtra,Karnataka,Andhra Pradesh",NPK 120:120:240,"Downy Mildew,Powdery Mildew,Thrips"
Apple,6.0,7.0,2.0,40,100,"Well-drained Loam",Year-round,1000-1250,21-24,1000-1250,Year-round,15-40,"Himachal Pradesh,Jammu & Kashmir,Uttarakhand",NPK 375:187:375,"Apple Scab,Fire Blight,Codling Moth"
